a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506F008251 1.0 21.0 10.0 3.0 40.0 1.0
201506F008251 1.0 51.0 5.0 3.0 40.0 1.0
201506F008278 1.0 61.0 6.0 3.0 30.0 1.0
201506F008287 2.0 30.0 -1.0 3.0 30.0 1.0
201506F008287 1.0 30.0 7.0 3.0 30.0 1.0
201506F008293 1.0 27.0 1.0 3.0 30.0 1.0
201506F008293 1.0 28.0 12.0 3.0 30.0 1.0
201506F008304 2.0 19.0 10.0 3.0 30.0 1.0
201506F008304 1.0 46.0 8.0 3.0 30.0 1.0
201506F008496 3.0 -1.0 -1.0 2.0 30.0 1.0
201506F008496 1.0 56.0 -1.0 2.0 30.0 1.0
201506F008603 1.0 30.0 -1.0 3.0 50.0 2.0
201506F008603 2.0 61.0 5.0 3.0 50.0 2.0
201506F008603 2.0 61.0 5.0 3.0 50.0 2.0
201506F008603 2.0 23.0 2.0 3.0 50.0 2.0
201506F008681 3.0 -1.0 -1.0 2.0 30.0 1.0
201506F008701 1.0 38.0 -1.0 3.0 30.0 1.0
201506F008701 1.0 44.0 -1.0 3.0 30.0 1.0
201506F008711 1.0 51.0 21.0 3.0 30.0 1.0
201506F008711 1.0 50.0 -1.0 3.0 30.0 1.0
201506F008926 1.0 53.0 5.0 3.0 30.0 1.0
201506F008926 1.0 75.0 7.0 3.0 30.0 1.0
201506F008942 1.0 46.0 -1.0 3.0 30.0 1.0
201506F008973 1.0 46.0 2.0 3.0 30.0 1.0
201506F008999 3.0 38.0 8.0 2.0 30.0 1.0
201506F008999 1.0 30.0 25.0 2.0 30.0 1.0
201506F009030 1.0 46.0 10.0 2.0 30.0 1.0
201506F009037 1.0 45.0 4.0 3.0 20.0 1.0
201506F009037 1.0 27.0 -1.0 3.0 20.0 1.0
201506F009037 1.0 27.0 -1.0 3.0 20.0 1.0
201506F009193 1.0 33.0 13.0 3.0 50.0 2.0
201506F009193 1.0 33.0 13.0 3.0 50.0 2.0
201506F009193 3.0 30.0 -1.0 3.0 50.0 2.0
201506F009344 1.0 48.0 12.0 3.0 30.0 1.0
201506F009344 1.0 50.0 1.0 3.0 30.0 1.0
201506F009398 2.0 34.0 1.0 3.0 30.0 1.0
201506F009398 1.0 31.0 4.0 3.0 30.0 1.0
201506F009436 2.0 33.0 16.0 3.0 30.0 1.0
201506F009453 1.0 28.0 7.0 3.0 30.0 1.0
201506F009453 1.0 71.0 2.0 3.0 30.0 1.0
201506F009455 1.0 37.0 10.0 3.0 30.0 1.0
201506F009455 2.0 35.0 2.0 3.0 30.0 1.0
201506F009469 1.0 30.0 14.0 3.0 30.0 1.0
201506F009469 1.0 30.0 14.0 3.0 30.0 1.0
201506F009469 1.0 29.0 -1.0 3.0 30.0 1.0
201506F009524 2.0 24.0 7.0 3.0 30.0 1.0
201506F009524 1.0 56.0 10.0 3.0 30.0 1.0
201506F009592 2.0 20.0 8.0 3.0 30.0 1.0
201506F009592 2.0 19.0 2.0 3.0 30.0 1.0
201506F009770 1.0 74.0 -1.0 3.0 30.0 2.0
201506F009770 1.0 74.0 -1.0 3.0 30.0 2.0
201506F009828 1.0 52.0 -1.0 3.0 50.0 1.0
201506F009828 1.0 45.0 2.0 3.0 50.0 1.0
201506F009828 2.0 44.0 8.0 3.0 50.0 1.0
201506F009851 2.0 36.0 9.0 3.0 30.0 2.0
201506F009851 1.0 30.0 -1.0 3.0 30.0 2.0
201506F009866 1.0 30.0 12.0 3.0 30.0 1.0
201506F009866 1.0 29.0 12.0 3.0 30.0 1.0
201506F009909 1.0 40.0 -1.0 3.0 30.0 1.0
201506F009909 1.0 45.0 -1.0 3.0 30.0 1.0
201506F009910 1.0 32.0 10.0 2.0 30.0 1.0
201506F009910 1.0 37.0 2.0 2.0 30.0 1.0
201506F009963 2.0 31.0 8.0 3.0 30.0 1.0
201506F009963 1.0 48.0 -1.0 3.0 30.0 1.0
201506F010252 1.0 73.0 6.0 2.0 30.0 1.0
201506F010333 1.0 13.0 -1.0 2.0 20.0 1.0
201506F010333 1.0 20.0 6.0 2.0 20.0 1.0
201506F010427 1.0 44.0 2.0 3.0 30.0 1.0
201506F010427 1.0 45.0 3.0 3.0 30.0 1.0
201506F010427 2.0 38.0 7.0 3.0 30.0 1.0
201506F010427 2.0 38.0 7.0 3.0 30.0 1.0
201506F010427 2.0 38.0 7.0 3.0 30.0 1.0
201506F010427 2.0 38.0 7.0 3.0 30.0 1.0
201506F095351 1.0 45.0 8.0 3.0 30.0 1.0
201506F095351 1.0 34.0 8.0 3.0 30.0 1.0
201506F095351 1.0 34.0 8.0 3.0 30.0 1.0
201506F095845 1.0 26.0 5.0 3.0 30.0 1.0
201506F095845 1.0 53.0 -1.0 3.0 30.0 1.0
201506F095849 2.0 27.0 6.0 3.0 30.0 1.0
201506F095849 1.0 48.0 8.0 3.0 30.0 1.0
201506F096132 1.0 18.0 -1.0 2.0 30.0 1.0
201506F096163 2.0 64.0 14.0 1.0 50.0 1.0
201506F096163 2.0 64.0 14.0 1.0 50.0 1.0
201506F096163 1.0 52.0 2.0 1.0 50.0 1.0
201506F096188 1.0 51.0 2.0 3.0 30.0 1.0
201506F096204 1.0 48.0 7.0 2.0 30.0 1.0
201506F096214 1.0 67.0 1.0 3.0 30.0 1.0
201506F096214 1.0 21.0 6.0 3.0 30.0 1.0
201506F096214 2.0 43.0 -1.0 3.0 30.0 1.0
201506F096311 1.0 28.0 1.0 3.0 40.0 1.0
201506F096311 2.0 48.0 3.0 3.0 40.0 1.0
201506F096420 2.0 34.0 2.0 3.0 30.0 1.0
201506F096420 1.0 42.0 8.0 3.0 30.0 1.0
201506F096430 1.0 36.0 10.0 3.0 30.0 1.0
201506F096430 1.0 64.0 -1.0 3.0 30.0 1.0
201506F096436 2.0 59.0 10.0 2.0 30.0 1.0
201506F096494 1.0 45.0 10.0 3.0 30.0 1.0
201506F096594 2.0 55.0 -1.0 3.0 30.0 1.0
201506F096594 1.0 25.0 -1.0 3.0 30.0 1.0
201506F096595 1.0 48.0 4.0 3.0 20.0 1.0
201506F096596 1.0 27.0 -1.0 2.0 30.0 1.0
201506F096601 1.0 24.0 7.0 3.0 30.0 1.0
201506F096601 1.0 42.0 13.0 3.0 30.0 1.0
201506F096601 1.0 42.0 13.0 3.0 30.0 1.0
201506F096730 1.0 19.0 -1.0 2.0 30.0 1.0
201506F096730 1.0 59.0 -1.0 2.0 30.0 1.0
201506F096873 1.0 39.0 -1.0 3.0 30.0 1.0
201506F096873 1.0 48.0 14.0 3.0 30.0 1.0
201506F096993 1.0 30.0 -1.0 3.0 30.0 1.0
201506F096993 1.0 36.0 -1.0 3.0 30.0 1.0
